,Shirt NumberShirt,Player NamePlayer,TeamTeam,SuccessfulSuccessful,ErrorsSE,AttemptsAttempts,Average per matchaverage-per-match,Success %Success %,TotalTA
167,6,Baranov Evgeny,RUS,0,0,15,0.0,0.0,15
168,7,Volkov Dmitry,RUS,0,1,20,0.0,0.0,21
169,10,Bogdan Denis,RUS,0,0,18,0.0,0.0,18
170,15,Poletaev Victor,RUS,0,0,2,0.0,0.0,2
171,17,Mikhaylov Maxim,RUS,0,2,14,0.0,0.0,16
172,20,Kurkaev Ilyas,RUS,0,0,7,0.0,0.0,7
173,27,Golubev Valentin,RUS,0,0,43,0.0,0.0,43
174,5,Ensing Kyle,USA,0,0,7,0.0,0.0,7
175,8,Defalco Torey,USA,0,0,31,0.0,0.0,31
176,9,Hanes Jake,USA,0,0,1,0.0,0.0,1
177,13,Patch Benjamin,USA,0,0,5,0.0,0.0,5
178,15,Sander Brenden,USA,0,0,4,0.0,0.0,4
179,17,Jaeschke Thomas,USA,0,0,7,0.0,0.0,7
180,18,Muagututia Garrett,USA,0,0,12,0.0,0.0,12
181,19,Averill Taylor,USA,0,0,2,0.0,0.0,2
182,20,Smith David,USA,0,0,12,0.0,0.0,12
183,21,Watten Dustin,USA,0,0,10,0.0,0.0,10
184,22,Shoji Erik,USA,0,0,59,0.0,0.0,59
185,2,Perrin John Gordon,CAN,0,2,30,0.0,0.0,32
186,4,Hoag Nicholas,CAN,0,1,25,0.0,0.0,26
187,6,Pereira Jordan,CAN,0,0,2,0.0,0.0,2
188,7,Maar Stephen Timothy,CAN,0,1,9,0.0,0.0,10
189,10,Sclater Ryan Joseph,CAN,0,0,6,0.0,0.0,6
190,11,Jansen Vandoorn Daniel,CAN,0,0,3,0.0,0.0,3
191,14,Loeppky Eric,CAN,0,1,12,0.0,0.0,13
192,17,Vigrass Graham,CAN,0,1,2,0.0,0.0,3
193,19,Bann Blair Cameron,CAN,0,1,55,0.0,0.0,56
194,20,Szwarc Arthur,CAN,0,3,8,0.0,0.0,11
195,23,Demyanenko Danny,CAN,0,0,0,,,0
196,2,Muzaj Maciej,POL,0,0,7,0.0,0.0,7
197,6,Kurek Bartosz,POL,0,0,14,0.0,0.0,14
198,9,Leon Venero Wilfredo,POL,0,0,13,0.0,0.0,13
199,10,Wojtaszek Damian,POL,0,1,17,0.0,0.0,18
200,15,Kochanowski Jakub,POL,0,0,2,0.0,0.0,2
201,16,Semeniuk Kamil,POL,0,0,12,0.0,0.0,12
202,17,Zatorski Pawel,POL,0,0,37,0.0,0.0,37
203,20,Bieniek Mateusz,POL,0,0,5,0.0,0.0,5
204,21,Fornal Tomasz,POL,0,0,4,0.0,0.0,4
205,22,Bednorz Bartosz,POL,0,0,8,0.0,0.0,8
206,77,Klos Karol,POL,0,0,2,0.0,0.0,2
207,99,Huber Norbert,POL,0,0,0,,,0
208,7,Balaso Fabio,ITA,0,0,111,0.0,0.0,111
209,11,Galassi Gianluca,ITA,0,0,2,0.0,0.0,2
210,18,Michieletto Alessandro,ITA,0,0,22,0.0,0.0,22
211,20,Nelli Gabriele,ITA,0,2,20,0.0,0.0,22
212,23,Pinali Giulio,ITA,0,0,5,0.0,0.0,5
213,24,Cavuto Oreste,ITA,0,1,5,0.0,0.0,6
214,26,Cortesia Lorenzo,ITA,0,0,7,0.0,0.0,7
215,27,Scanferla Leonardo,ITA,0,0,0,,,0
216,28,Recine Francesco,ITA,0,0,12,0.0,0.0,12
217,29,Bottolo Mattia,ITA,0,0,7,0.0,0.0,7
218,30,Mosca Leandro Ausibio,ITA,0,1,5,0.0,0.0,6
219,31,Federici Filippo,ITA,0,0,4,0.0,0.0,4
220,9,Leal Hidalgo Yoandy,BRA,0,0,14,0.0,0.0,14
221,10,Bispo dos Santos Matheus,BRA,0,0,1,0.0,0.0,1
222,11,Kavalkievicz Gabriel,BRA,0,0,1,0.0,0.0,1
223,12,Santos Isac,BRA,0,0,5,0.0,0.0,5
